url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,label
eurekarestaurantgroup.com,339172,339172,1.5,0.09,2.1,FALSE
wowgirls.tv,218591,218591,2.3,0.2,3.1,FALSE
zeroscans.com,58099,58099,12,1.1,3.3,FALSE
mobigam.com,291204,291204,2.4,0.07,1.1,FALSE
cccat.club,273734,273734,3,0.07,1,FALSE
basisnet.co.kr,153549,153549,2.5,1,15,FALSE
sport-tv.by,285322,285322,2,0.1,1.8,FALSE
edunaij.ng,309773,309773,1.8,0.08,1.7,FALSE
fruitshemaletube.com,162618,162618,4,0.21,1.9,FALSE
boyspornpics.com,82652,82652,6.7,1.05,5.8,FALSE
hudsonreed.com,122593,122593,5,0.39,2.9,TRUE
ica.art,270432,270432,1.9,0.13,2.5,FALSE
38-365365.com,265647,265647,2,0.21,5,FALSE
themanregistry.com,179866,179866,2.4,0.48,7.4,TRUE
kinitv.com,36698,36698,22,1.37,2.28,FALSE
zapmeta.cl,74514,74514,12,0.42,1.3,FALSE
plitka-sdvk.ru,326982,326982,1.4,0.13,3.4,TRUE
topgear.com,12412,12412,73,4.02,2.02,FALSE
leedsfestival.com,67170,67170,10,0.86,3.1,FALSE
xigua555.com,243373,243373,1,0.59,20,FALSE
technipages.com,23728,23728,47.6,1.34,1,FALSE
banban.ir,255560,255560,1.3,0.57,16,FALSE
betahouse.us,347003,347003,2,0.05,1,FALSE
mobilefun.co.uk,45034,45034,20,0.87,1.6,TRUE
asanwebhost.com,101463,101463,4.9,1.03,7.7,FALSE
radixx.com,187346,187346,1.9,0.88,17,FALSE
blauer.com,320243,320243,1.6,0.1,2.3,TRUE
xn--10-yg4a1a3kyh.jp,161143,161143,3.3,0.32,3.6,FALSE
globaltv.com,19530,19530,44.2,2.67,2.21,FALSE
nhaxaysan.com,291987,291987,1.7,0.13,2.7,FALSE
pornoad.net,355200,355200,1.2,0.13,4,FALSE
s-est.co.jp,219907,219907,2,0.23,4,FALSE
gencol.az,187760,187760,3.1,0.2,2.4,FALSE
cartoonnetwork.com.co,122686,122686,4.4,0.53,4.3,FALSE
periodista.gr,78188,78188,9,0.61,2.5,FALSE
file-extension.org,82262,82262,11,0.37,1.3,FALSE
dpdlocal.co.uk,70882,70882,9.6,0.76,2.9,FALSE
pvc-welt.de,157604,157604,2.7,0.66,8.9,TRUE
railpage.com.au,264876,264876,1.8,0.16,3.3,FALSE
suedkurier.de,55111,55111,14,0.88,2.4,FALSE
luohua05.com,113590,113590,4,1.1,9.7,FALSE
mytnb.com.my,62934,62934,9.65,1.24,4.72,FALSE
abuzersat.com,284103,284103,1.6,0.18,4.1,FALSE
mcprohosting.com,46095,46095,17,1,2.1,FALSE
portoseguro.com.br,24456,24456,29,3.27,4.2,FALSE
zoomumba.com,190185,190185,3.3,0.16,1.8,FALSE
rinkya.com,195811,195811,2.3,0.35,5.6,FALSE
